"ID","Predict_Income"
871,5744.87135074749
872,2295.85738419135
873,14115.997831566
874,2295.85738419135
875,2392.56402685003
876,6325.11120669951
877,5793.22467207682
878,2150.79742020335
879,2537.62399083803
880,14780.0171234252
881,10534.8511077735
882,2392.56402685003
883,5696.51802941815
884,5648.16470808882
885,5889.93131473549
886,6022.06407197195
887,6360.5373212773
888,6167.12403595996
889,6312.18399994796
890,2646.44557583118
891,6263.83067861863
892,9616.13800251609
893,9616.13800251609
894,5696.51802941815
895,11005.4571143153
896,10183.4506517166
897,9712.84464517476
898,14393.1905527905
899,5889.93131473549
900,2344.21070552069
901,2344.21070552069
902,5938.28463606483
903,6276.75788537018
904,2440.91734817936
905,14212.7044742247
906,5599.81138675948
907,10618.6305436806
908,6215.47735728929
909,2150.79742020335
910,2102.44409887401
911,18361.1638472178
912,2694.79889716052
913,2392.56402685003
914,10280.1572943752
915,6215.47735728929
916,6070.41739330128
917,2199.15074153268
918,5648.16470808882
919,1680.19141366154
920,2634.3306334967
921,1825.25137764955
922,2102.44409887401
923,6263.83067861863
924,6614.41887025845
925,15118.4903727305
926,2537.62399083803
927,5889.93131473549
928,10570.2772223512
929,2102.44409887401
930,2440.91734817936
931,6131.69792138217
932,10086.7440090579
933,9664.49132384542
934,2199.15074153268
935,2102.44409887401
936,2247.50406286202
937,10425.2172583632
938,10473.5705796926
939,6699.01057058265
940,1680.19141366154
941,2779.39059748471
942,9712.84464517476
943,10534.8511077735
944,6022.06407197195
945,1631.83809233221
946,6118.77071463062
947,1680.19141366154
948,2199.15074153268
949,2743.15221848985
950,5793.22467207682
951,2537.62399083803
952,5793.22467207682
953,6215.47735728929
954,2344.21070552069
955,6263.83067861863
956,10340.625558039
957,11392.28368495
958,2537.62399083803
959,10196.3778584681
960,19086.4636671578
961,2344.21070552069
962,6263.83067861863
963,6457.24396393597
964,6711.12551291712
965,2150.79742020335
966,18554.5771325351
967,2295.85738419135
968,9664.49132384542
969,14925.0770874132
970,2295.85738419135
971,5744.87135074749
972,6312.18399994796
973,2295.85738419135
974,2102.44409887401
975,6070.41739330128
976,2247.50406286202
977,6747.36389191198
978,2344.21070552069
979,10425.2172583632
980,18264.4572045591
981,1921.95802030822
982,9906.2579304921
983,2344.21070552069
984,1873.60469897889
985,5793.22467207682
986,2440.91734817936
987,2102.44409887401
988,5744.87135074749
989,10618.6305436806
990,2199.15074153268
991,6759.47883424646
992,2295.85738419135
993,6711.12551291712
994,5648.16470808882
995,5696.51802941815
996,6602.30392792397
997,2199.15074153268
998,14780.0171234252
999,9761.19796650409
1000,2102.44409887401
1001,6904.53879823447
1002,5648.16470808882
1003,6312.18399994796
1004,6795.71721324132
1005,2537.62399083803
1006,5841.57799340616
1007,1728.54473499088
1008,6312.18399994796
1009,18409.5171685471
1010,6034.9912787235
1011,10425.2172583632
1012,6408.89064260663
1013,6034.9912787235
1014,6360.5373212773
1015,5841.57799340616
1016,2440.91734817936
1017,2537.62399083803
1018,9664.49132384542
1019,9761.19796650409
1020,2054.09077754468
1021,5841.57799340616
1022,5744.87135074749
1023,6167.12403595996
1024,10812.0438289979
1025,14393.1905527905
1026,18167.7505619004
1027,6566.06554892912
1028,5648.16470808882
1029,5599.81138675948
1030,11065.9253779791
1031,5599.81138675948
1032,2839.85886114852
1033,10038.3906877286
1034,2102.44409887401
1035,6360.5373212773
1036,2102.44409887401
1037,5696.51802941815
1038,10679.0988073444
1039,10038.3906877286
1040,6360.5373212773
1041,2344.21070552069
1042,2344.21070552069
1043,9664.49132384542
1044,6276.75788537018
1045,2295.85738419135
1046,2102.44409887401
1047,6167.12403595996
1048,10183.4506517166
1049,2440.91734817936
1050,5744.87135074749
1051,11247.2237209619
1052,2440.91734817936
1053,6215.47735728929
1054,2344.21070552069
1055,2344.21070552069
1056,2344.21070552069
1057,6118.77071463062
1058,14019.2911889074
1059,7049.59876222247
1060,2344.21070552069
1061,6457.24396393597
1062,6263.83067861863
1063,6553.95060659464
1064,1776.89805632021
1065,6408.89064260663
1066,2295.85738419135
1067,3021.15720413139
1068,18747.9904178525
1069,5648.16470808882
1070,1825.25137764955
1071,1873.60469897889
1072,6457.24396393597
1073,1728.54473499088
1074,6312.18399994796
1075,5696.51802941815
1076,14309.4111168834
1077,18409.5171685471
1078,6312.18399994796
1079,6312.18399994796
1080,6747.36389191198
1081,2440.91734817936
1082,2247.50406286202
1083,1680.19141366154
1084,6131.69792138217
1085,10086.7440090579
1086,10148.0245371388
1087,5696.51802941815
1088,2344.21070552069
1089,2344.21070552069
1090,5696.51802941815
1091,5744.87135074749
1092,6131.69792138217
1093,10086.7440090579
1094,5744.87135074749
1095,6118.77071463062
1096,6215.47735728929
1097,2876.09724014338
1098,2646.44557583118
1099,2440.91734817936
1100,6312.18399994796
1101,18167.7505619004
1102,5793.22467207682
1103,6034.9912787235
1104,10873.3243570788
1105,2440.91734817936
1106,2440.91734817936
1107,2489.2706695087
1108,6614.41887025845
1109,5744.87135074749
1110,5696.51802941815
1111,6553.95060659464
1112,9857.90460916276
1113,10328.5106157046
1114,6276.75788537018
1115,10812.0438289979
1116,2440.91734817936
1117,6699.01057058265
1118,6312.18399994796
1119,10763.6905076686
1120,2018.66466296689
1121,10148.0245371388
1122,14683.3104807665
1123,6312.18399994796
1124,14441.5438741198
1125,2150.79742020335
1126,1680.19141366154
1127,2344.21070552069
1128,6263.83067861863
1129,14019.2911889074
1130,2247.50406286202
1131,10038.3906877286
1132,14393.1905527905
1133,6312.18399994796
1134,2247.50406286202
1135,2537.62399083803
1136,2344.21070552069
1137,2876.09724014338
1138,5889.93131473549
1139,10002.9645731508
1140,14054.7173034852
1141,6312.18399994796
1142,5889.93131473549
1143,10908.7504716566
1144,5599.81138675948
1145,6807.83215557579
1146,5793.22467207682
1147,6118.77071463062
1148,2247.50406286202
1149,2199.15074153268
1150,6360.5373212773
1151,2247.50406286202
1152,5793.22467207682
1153,6795.71721324132
1154,2102.44409887401
1155,6602.30392792397
1156,14393.1905527905
1157,1873.60469897889
1158,6553.95060659464
1159,2247.50406286202
1160,6167.12403595996
1161,2344.21070552069
1162,10086.7440090579
1163,2585.97731216737
1164,10183.4506517166
1165,2440.91734817936
1166,2150.79742020335
1167,10280.1572943752
1168,5696.51802941815
1169,2344.21070552069
1170,2440.91734817936
